Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Full Metal Panic! The Second Raid,TV,13,Finished Airing,7/14/2005,10/20/2005,Summer,null,"{kadokawa shoten,happinet pictures}","{adv films,funimation,kadokawa pictures usa}",Kyoto Animation,Light novel,"{action,military,mecha}",24,R,8.03,108262,181984,1234
Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,1,Finished Airing,2/6/1988,null,null,null,null,{sentai filmworks},"Artland,Madhouse",Novel,"{action,military,sci-fi,space}",59,PG-13,8.03,11672,19926,33
Haikyuu!! Movie 1: Owari to Hajimari,Movie,1,Finished Airing,7/3/2015,null,null,null,{toho animation},null,Production I.G,Manga,"{comedy,sports,drama,school,shounen}",89,PG-13,8.03,4957,22416,44
Kaleido Star,TV,51,Finished Airing,4/3/2003,3/27/2004,Spring,6,"{tv tokyo,hal film maker,g&g entertainment,horipro,medianet}","{adv films,funimation}","Gonzo,Production I.G",Original,"{comedy,sports,drama,fantasy,shoujo}",23,PG-13,8.03,22646,51317,1146
Kurenai no Buta,Movie,1,Finished Airing,7/18/1992,null,null,null,"{tokuma shoten,nippon television network}","{walt disney studios,gkids}",Studio Ghibli,Manga,"{action,adventure,comedy,drama,historical,military,romance}",93,G,8.03,61307,98088,718
Macross F Movie 2: Sayonara no Tsubasa,Movie,1,Finished Airing,2/26/2011,null,null,null,null,null,"Satelight,8bit",Original,"{action,mecha,military,music,romance,sci-fi,space}",114,PG-13,8.03,10084,20047,92
Mawaru Penguindrum,TV,24,Finished Airing,7/8/2011,12/23/2011,Summer,5,"{starchild records,mainichi broadcasting system}",{sentai filmworks},Brain's Base,Original,"{mystery,comedy,dementia,psychological,drama}",24,R,8.03,72165,189759,5494
Planetarian: Hoshi no Hito,Movie,1,Finished Airing,9/3/2016,null,null,null,{visual art's},null,David Production,Visual novel,"{sci-fi,drama}",117,PG-13,8.03,4877,19722,93
Soul Eater,TV,51,Finished Airing,4/7/2008,3/30/2009,Spring,1,"{tv tokyo,aniplex,dentsu,media factory}",{funimation},Bones,Manga,"{action,fantasy,comedy,supernatural,shounen}",24,PG-13,8.03,417573,780484,17832
Tanaka-kun wa Itsumo Kedaruge,TV,12,Finished Airing,4/9/2016,6/25/2016,Spring,6,"{bandai visual,dentsu,frontier works,lantis,shochiku,mainichi broadcasting system,movic,yahoo! japan,grooove}",{sentai filmworks},Silver Link.,Web manga,"{slice of life,comedy,school}",24,PG-13,8.03,75421,166411,1848
Terra e... (TV),TV,24,Finished Airing,4/7/2007,9/22/2007,Spring,6,"{aniplex,mainichi broadcasting system,sky perfect well think}",{bandai entertainment},"Tokyo Kids,Minami Machi Bugyousho",Manga,"{action,drama,military,sci-fi,space}",24,PG-13,8.03,13820,43068,824
Beelzebub,TV,60,Finished Airing,1/9/2011,3/25/2012,Winter,0,"{studio pierrot,dentsu,yomiuri telecasting,shueisha}",{discotek media},Pierrot Plus,Manga,"{action,comedy,demons,supernatural,school,shounen}",24,PG-13,8.02,134517,297955,3746
Hibike! Euphonium,TV,13,Finished Airing,4/8/2015,7/1/2015,Spring,3,"{lantis,pony canyon,rakuonsha}",{ponycan usa},Kyoto Animation,Novel,"{music,school,drama}",23,PG-13,8.02,92899,200810,3291
Hybrid Child,OVA,4,Finished Airing,10/29/2014,1/28/2015,null,null,{lantis},null,Studio Deen,Manga,"{drama,historical,romance,sci-fi,shounen ai}",25,PG-13,8.02,18710,38261,383
Kuroko no Basket: Tip Off,Special,1,Finished Airing,2/22/2013,null,null,null,"{bandai visual,lantis}",null,Production I.G,Manga,"{sports,comedy,school,shounen}",25,PG-13,8.02,30863,53386,74
Lupin III vs. Detective Conan: The Movie,Movie,1,Finished Airing,12/7/2013,null,null,null,null,{discotek media},TMS Entertainment,-,"{action,comedy,mystery,shounen}",108,G,8.02,7430,14160,32
Saiyuuki Reload: Burial,OVA,3,Finished Airing,4/28/2007,3/28/2008,null,null,{dentsu},null,Studio Pierrot,Manga,"{action,adventure,drama,fantasy,shoujo}",33,PG-13,8.02,3073,8858,48
